Distance,Fluence of Supernovae,Fluence of LGRB,Fluence of SGRB
2369.885003216246,1.525769940153665e+35,1.4010743252099772e+20,1.0849919574426062e+28
2551.632833250394,1.31615560086577e+35,1.2085910017132875e+20,9.359328717267698e+27
2747.3190078359867,1.1353386379573514e+35,1.0425515500067507e+20,8.073519203252277e+27
2958.0124665515436,9.793627911403137e+34,8.993230405328868e+19,6.964357625886675e+27
3184.8641265604006,8.448153217050786e+34,7.757716452755544e+19,6.007575621013893e+27
3429.11316951835,7.287523420781053e+34,6.691940698605193e+19,5.182238876999861e+27
3692.0938106278004,6.28634403803726e+34,5.772584056967181e+19,4.4702890937153853e+27
3975.2425868145924,5.422709346206283e+34,4.979531080079231e+19,3.8561488684133566e+27
4280.106203839207,4.677723089208153e+34,4.2954298339836125e+19,3.3263808634369095e+27
4608.3499852074,4.0350850289660265e+34,3.705312239638225e+19,2.869393798375841e+27
4961.766969032636,3.480734297536616e+34,3.196266572577242e+19,2.4751888338038158e+27
5342.28770254205,3.002541746475227e+34,2.7571549554409804e+19,2.135140797493495e+27
5751.990787728642,2.5900445620646205e+34,2.3783696621346378e+19,1.8418094663570634e+27
6193.114235755585,2.234217339810718e+34,2.0516229015709078e+19,1.5887767749765106e+27
6668.067692136218,1.9272746093340501e+34,1.76976548148214e+19,1.370506388859769e+27
7179.445599470057,1.6625004889177e+34,1.526630384681084e+19,1.1822225698970313e+27
7730.04136963656,1.4341017425672578e+34,1.3168978352316418e+19,1.0198056836033834e+27
8322.862642862468,1.2370810244833903e+34,1.1359789021886046e+19,8.797020618548554e+26
8961.147717015716,1.0671275375464504e+34,9.79915094165703e+18,7.588462489219204e+26
9648.383236871216,9.205227134297884e+33,8.452917478694109e+18,6.545939295500718e+26
10388.323239976595,7.940588506303581e+33,7.291633155467016e+18,5.6466407155936574e+26
11185.009663156092,6.849689302234673e+33,6.289889166423025e+18,4.87089017047799e+26
12042.794421669996,5.908660737161052e+33,5.425767435409598e+18,4.201714301981193e+26
12966.363181637425,5.096913183416751e+33,4.680361049969469e+18,3.624471597096357e+26
13960.760955579655,4.396685671238817e+33,4.03736057964997e+18,3.1265320328809365e+26
15031.419660900208,3.792657280208597e+33,3.48269722700514e+18,2.6970007325927803e+26
