Distance,Rate of Supernovae,Error of Supernovae,Rate of LGRB,Error of LGRB,Rate of SGRB,Error of SGRB
239.83308336692494,3.955455587418158e-06,1.1519380744794928e-10,1.1986229052782295e-13,3.4907214377098756e-18,1.054788156644842e-09,3.071834865187715e-14
258.22601906345955,4.708821282578449e-06,3.2082205066488617e-09,1.4269155401752875e-13,9.721880323129263e-17,1.255685675354253e-09,8.555254684381475e-13
278.0295194693643,5.59452200434538e-06,6.964558770352159e-10,1.695309698286479e-13,2.1104723546147308e-17,1.4918725344921015e-09,1.8572156720952897e-13
299.35176159521274,6.633985642280973e-06,1.3968000973119954e-10,2.010298679479083e-13,4.2327275676282576e-18,1.7690628379415926e-09,3.724800259519563e-14
322.30921860810304,7.851029228039956e-06,3.6406070460651206e-09,2.379099766072714e-13,1.1032142563703345e-16,2.093607794143988e-09,9.708285456056127e-13
347.02729606862334,9.273921895252599e-06,2.7564410697734613e-09,2.810279362197757e-13,8.35285172657542e-17,2.4730458387340265e-09,7.350509519413521e-13
373.64101696119576,1.0935165003945263e-05,3.501873850023367e-10,3.3136863648318985e-13,1.0611738939445741e-17,2.9160440010520706e-09,9.338330266706531e-14
402.29575925978406,1.287089805211114e-05,1.6280336553142228e-09,3.900272137003376e-13,4.933435319191051e-17,3.4322394805629716e-09,4.341423081030812e-13
433.14805005793556,1.5124258148452187e-05,7.86439815950374e-10,4.583108529833996e-13,2.383150957447403e-17,4.033135506253916e-09,2.097172842613375e-13
466.36642060111126,1.774423473544105e-05,6.818827995420312e-09,5.377040828921531e-13,2.066311513738463e-16,4.731795929450946e-09,1.8183541320967722e-12
502.1323268919288,2.0788524886884528e-05,2.0140599958124287e-09,6.299552996025614e-13,6.103212108676747e-17,5.543606636502539e-09,5.370826655794581e-13
540.641140897145,2.432199191923371e-05,2.300526112446726e-09,7.370300581585974e-13,6.971291249761239e-17,6.485864511795657e-09,6.134736299801595e-13
582.103217770871,2.8419310980211194e-05,1.8923215445564088e-09,8.611912418245816e-13,5.734307710898142e-17,7.578482928056317e-09,5.046190785683007e-13
626.7450449237385,3.317102194935204e-05,1.1679363166013923e-09,1.0051824833136983e-12,3.5392009591687e-17,8.845605853160544e-09,3.1144968442404596e-13
674.8104792148345,3.867608099572966e-05,3.841736938184673e-09,1.1720024544160502e-12,1.1641627085760173e-16,1.0313621598861241e-08,1.024463183517484e-12
726.5620790245948,4.505083760556029e-05,6.2248568068733185e-09,1.3651768971381904e-12,1.8863202445081986e-16,1.2013556694816076e-08,1.6599618151835366e-12
782.2825384851217,5.243214016313632e-05,1.5668470745262512e-09,1.588852732216252e-12,4.748021437988274e-17,1.3981904043503021e-08,4.178258865098011e-13
842.2762317024387,6.0978066853697665e-05,6.874166052884838e-10,1.8478202076878083e-12,2.0830806220831135e-17,1.626081782765271e-08,1.8331109474329203e-13
906.8708754060385,7.086231565805399e-05,5.202782794073023e-10,2.14734289872891e-12,1.5766008470628845e-17,1.88966175088144e-08,1.3874087449567175e-13
976.4193191079621,8.229637989316764e-05,2.214606373887891e-09,2.4938296937323522e-12,6.710928405230995e-17,2.1945701304844697e-08,5.905616996512321e-13
1051.301472550198,9.551290584374085e-05,1.1561607800834583e-08,2.8943304801133592e-12,3.503517515398222e-16,2.5470108224997557e-08,3.083095413575877e-12
1131.926380969127,0.00011078335498709072,1.222032577695592e-08,3.357071363245174e-12,3.703129023277724e-16,2.9542227996557533e-08,3.2587535404738165e-12
1218.7344595131701,0.0001284243523472465,7.995323357735482e-09,3.891647040825651e-12,2.422825259970172e-16,3.424649395926573e-08,2.132086228718056e-12
1312.1998990192028,0.00014877809714020296,9.228313377197976e-09,4.508638069280117e-12,1.5799849137361506e-15,3.967601500966503e-08,1.3903867241142928e-11
1412.8332562893265,0.00017226643547253384,2.0191311114266897e-09,5.220195014319208e-12,6.118579125534685e-17,4.593771612600903e-08,5.384349630470684e-13
1521.1842430174509,0.00019933254339556632,7.973819396656954e-09,6.04038010289595e-12,2.4163089082823353e-16,5.315534490548436e-08,2.126351839135219e-12
1637.8447286002345,0.0002305010901042875,1.4443137474324152e-08,6.984806599572353e-12,4.652095353567216e-15,6.14662980762367e-08,4.0938439111365407e-11
1763.4519732353021,0.00026635546491784643,1.2698335651963253e-08,8.071404694968416e-12,2.6149783440999638e-15,7.102836131572207e-08,2.3011809428636024e-11
1898.6921089676216,0.00030754242023268925,5.0051162866658095e-09,9.31946727977846e-12,1.5167019047788552e-16,8.201131206205047e-08,1.3346976763544715e-12
2044.303887699291,0.0003548083279875684,8.934501495735069e-09,1.0751732510111605e-11,1.1760697993782096e-15,9.461524608898213e-08,1.034941423450964e-11
2201.082716636343,0.0004089485587934217,3.972455026977183e-09,1.2392380569497629e-11,1.2037742506362544e-16,1.0905294901157914e-07,1.059321340644503e-12
2369.885003216246,0.00047084628619814545,8.905700693063491e-09,1.4268725389217116e-11,8.62177209720802e-16,1.2556478342511062e-07,7.58715944555073e-12
2551.632833250394,0.0005414723787309568,5.764519927370371e-09,1.6408342975283098e-11,6.991923147950058e-16,1.4439341818249126e-07,6.15289237026435e-12
2747.3190078359867,0.0006218565828895511,1.3354522220043433e-08,1.8844225864812922e-11,1.2391519333486503e-15,1.6582918761035374e-07,1.0904537013380534e-11
2958.0124665515436,0.0007130947596308295,1.3011494500050412e-08,2.1608972111905402e-11,9.352062118433245e-16,1.9015895458476753e-07,8.229814664260502e-12
3184.8641265604006,0.0008163122657930269,1.27243539984672e-08,2.4736877913767908e-11,3.5029220193476288e-15,2.1768452564115754e-07,3.082571376908813e-11
3429.11316951835,0.0009326703150808795,1.4885903794864266e-08,2.8263328404791964e-11,4.5870945648726054e-15,2.4871728996216927e-07,4.036643217191138e-11
3692.0938106278004,0.0010632968013816392,3.01882443904893e-08,3.222047439004359e-11,3.429082276853568e-15,2.835401746323837e-07,3.0175924036309964e-11
3975.2425868145924,0.0012092602220672138,1.47639810144313e-08,3.664432379501722e-11,6.426922934964187e-15,3.224700493961515e-07,5.6556921827383326e-11
4280.106203839207,0.0013714410590589968,1.4895084124861667e-08,4.1559500863461696e-11,7.942077442972916e-15,3.657236075984629e-07,6.989028149701646e-11
4608.3499852074,0.0015506234456595723,4.235807839737233e-08,4.6987078707540974e-11,8.67816004904214e-15,4.1348629262636056e-07,7.636780843169895e-11
4961.766969032636,0.0017471972491784834,5.252791880865703e-08,5.294474510375758e-11,8.668641121166845e-15,4.659137569130666e-07,7.628404186503335e-11
5342.28770254205,0.0019612255220322504,5.810330571249044e-08,5.94319101555496e-11,5.122851579623805e-15,5.230008093688365e-07,4.5081093900689496e-11
5751.990787728642,0.0021922593418003435,1.2490374099712674e-08,6.643237611264947e-11,1.8306425636194443e-14,5.846049097913155e-07,1.6109654560327074e-10
6193.114235755585,0.002439215090565702,7.428383511835328e-08,7.391504251673505e-11,5.783126587830593e-14,6.504523741472685e-07,5.089151397299785e-10
6668.067692136218,0.002700436719398131,7.742390756712477e-08,8.183297576632662e-11,6.775154502193251e-14,7.201301867436743e-07,5.962135961948676e-10
7179.445599470057,0.002973493287710939,6.691248768914379e-08,9.010654523189138e-11,5.743227997134363e-14,7.929375980406441e-07,5.054040637516537e-10
7730.04136963656,0.003255202007503209,1.027079152045521e-07,9.864393919481042e-11,1.9138865420488385e-13,8.680666649143314e-07,1.6842201569855616e-09
8322.862642862468,0.003541671857247594,1.5922628833706473e-07,1.0732300012996412e-10,2.6426613770762893e-13,9.444424011436843e-07,2.3255420118156543e-09
8961.147717015716,0.003828476440889392,1.0302492626730156e-07,1.1601620183549063e-10,2.82514528669987e-13,1.0209425761523176e-06,2.4861278523003724e-09
9648.383236871216,0.004110651656031045,3.7686355448859473e-07,1.2457227423410586e-10,4.214471367554515e-13,1.0962360132601317e-06,3.708734803456341e-09
10388.323239976595,0.0043831586264573945,1.8627055235140314e-07,1.3282521828692705e-10,4.76769572187243e-13,1.1688619209249582e-06,4.195572235256498e-09
11185.009663156092,0.004641039390430574,1.3976896797267445e-07,1.4065608211713783e-10,4.4069079294401106e-13,1.2377735226308129e-06,3.878078977902159e-09
12042.794421669996,0.004879727598452005,4.0341576433135216e-08,1.479108483296069e-10,5.113447465400694e-13,1.3016154653005407e-06,4.499833769539517e-09
12966.363181637425,0.005095613063014504,8.521201382886616e-08,1.5445766463686933e-10,6.250514707278116e-13,1.3592274488044497e-06,5.500452942382278e-09
13960.760955579655,0.005285785693438388,2.429187040261351e-07,1.6024634906257156e-10,5.100472449746003e-13,1.4101678717506297e-06,4.488415755769694e-09
15031.419660900208,0.005448829735565196,9.607877151396793e-08,1.652130651998346e-10,7.647561477061808e-13,1.4538749737585446e-06,6.729854099818534e-09
